Sector,debtToAssets,quickRatio,CurrentRatio,DebtToEquity,AssetsTurnover,pbRatio,priceToFreeCashFlowsRatio,priceToSalesRatio,ReturnOnAssets,ReturnOnEquity,peRatio,roic,OperatingMargin,NetProfitMargin,grossProfitMargin,epsdilutedGrowth,OperatingMarginIncrease,NetProfitMarginIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth,Time
0.0,0.43928608718626416,1.702456842030659,2.0542883521415174,3.504353565682473,0.6714302205806465,0.19464993905218295,2.0800149649987616,-7.07659764329837,-0.860113212814806,0.25066723959532894,-5.117494647298401,-0.17716229244137138,-1.6214758615085039,-1.8746719716135887,0.2084897031518753,0.004869640787691818,0.038298080805607725,0.03284988671425215,-0.8458001626626276,0.8017729768145255,0.0022890497303975055,0.04301972186398011,2018
Basic Materials,0.20635539302858263,2.4294056309347476,3.3037922964415527,0.9297468789092509,0.5322072911023076,2.9261422800027335,-6.734016161663605,2.33752293929647,-0.0031969924829352092,0.03891058883149675,-6.3038715781315195,-0.005921333589098073,-0.021990987489909318,-0.0971677026042609,0.20782790833229522,-0.2598363814284912,-0.11597206575911881,-0.16514707187523456,-0.3999131216711093,0.17397143980280574,0.1348769231533061,0.2214705636275431,2018
Communication Services,0.24142033708168206,1.4878060323725955,1.8267931813782379,1.3836111002652227,0.7540437001893984,0.8948160890116715,-12.337875078855992,17.60588636540169,-0.15197276724694192,-0.025978268627154733,-3.5288195193102565,-0.47838840083871587,-0.04902783706965376,-0.1016251549994976,0.5357337989097625,0.34436828031261957,0.2341914104309192,-0.2485532656053035,0.2900700611033976,0.2705327446361751,0.04956262583281111,0.2573142821765491,2018
Consumer Cyclical,0.2668733509469855,1.1178156734172668,2.0966093880747856,1.5214123937881094,1.1836308834136382,1.4747921387527714,11.240708772862154,8.845287080366878,0.02312530289121814,0.08773486358713625,-9.191570780374212,0.01244877322638533,-0.21039373037977874,-0.24995940942135608,0.34651175779678056,0.3458833791590626,0.012220733964527648,0.05911352341154494,0.155130478309195,0.20244940065637382,-0.09651975434889738,0.15333140219713035,2018
Consumer Defensive,0.20981060029880316,1.0357341283914654,1.9397683703364317,1.1269802921772165,1.020260397009509,-41.82061338382182,-68.26176114547042,9.211910398973954,0.005791299074163381,-0.11885598822644662,-56.257547140740144,0.05499458556950086,0.014740425908851046,-0.16351727645834632,0.33447124750796914,0.21082079573475263,-0.10619073499084508,-0.16495434700024014,0.24263099201172764,0.09954098414274921,-0.4111938479424266,0.06726301898862969,2018
Energy,0.2787382331568662,1.2866519781928525,1.7033842501039043,0.8386704513626712,0.7444149519833072,1.7924323381086162,3.6503651151259002,2.148547037201102,0.1161246034118163,0.16885409938392368,4.393486317428048,0.11782203588019151,0.15141581302616117,0.06391176169727916,0.2767122153990372,0.4136880232697044,0.2208757841386244,0.33473023172565014,0.5664777455606415,0.30074105151521413,0.698513875979674,0.5157980224525769,2018
Financial Services,0.1380435783462194,19.766541805327552,40.90003970939352,4.2541694966304355,0.14940729843432402,1.6750590030366486,7.421802431519499,5.502534599352654,-0.0211268246725476,0.03041812285637605,6.516276776181622,0.03198450848442446,0.10411924871347096,0.2581666784558602,0.601414442069653,0.049803879628758915,-0.005900509934017692,-0.1918473238636498,0.22886197313895063,-0.16529787821657874,0.03475209927797398,-0.012976185538750499,2018
Healthcare,0.20383495283805098,6.216666355999147,5.3575972689098394,1.4058392007434588,0.26151203055081257,35.49562001136434,-17.87747801553556,154.23887163528713,-0.7771961427910187,-1.4380658454885302,-17.426273589137075,-0.49762822959718583,-12.898939663634794,-11.825564850267483,0.32766541483975375,-0.435308563169793,3.0579015310435396,2.352808487264594,0.08611214226398227,1.179883563739569,-0.544593637148011,0.1766091241716303,2018
Industrials,0.2546741751762995,1.395587371113161,1.9486103353131823,1.5957600073274327,0.8452881132136715,3.6998687281927856,-4.112993411766359,10.567076422144355,-0.03248340287072238,-0.11226515943353758,-3.90141686341164,0.03700966116965642,-0.887180868879935,-0.5377191444424924,0.26261274818222924,0.1984891707132577,-0.5800384875604726,-0.5763997443103114,-0.2714531584529702,0.12354092354938093,-0.13790828502691915,0.09593664125609584,2018
Real Estate,0.4816391074169702,2.2558558512050326,2.5869676828161974,2.5647047873736053,0.19971774685068805,29.75195210600337,-52.31743093277347,9.90168214946681,0.01587401435346164,0.04201108642524388,-131.3007125211528,0.02854244422427947,0.16602159960043464,0.13098895654849382,0.5171551485220659,5.177494343199527,0.03186780956903712,-0.02734013300109657,0.8760604670873314,0.09489571452155132,0.2031819949313165,0.07211095225886108,2018
Technology,0.21247252011904608,1.5979469038592646,2.2326433057140327,1.0621178891631562,0.8498162626583563,1.9020638396000598,35.29255593861606,44.490716301775784,-0.15909537830464193,-0.1167024199278858,-21.555141666188224,0.014080770045137211,-2.1203895623327,-1.6807951186735326,0.4642226640106544,0.08519008373762914,-0.8635288915269503,-1.167715422790315,0.15193907070504514,0.2916817120262773,0.06903993530313421,0.24777247121854643,2018
Utilities,0.3440014591937974,0.7174689050146934,1.025249424157173,2.1035296154112957,0.25657592908752913,1.8213291686339896,10.389171306729319,3.0625362222195367,0.025737016485163168,0.0904554727077521,17.71145875739919,0.05764843904434364,0.19367003951820125,0.03708765717636134,0.41050193986310635,0.2568552238951424,-0.020426173202417606,0.03895297376140531,0.22540393831442296,0.07818991486189904,0.025968745324887722,0.013006723934313685,2018
