Quarters,Year,Quarter,FillingDate,Date,MarketCap,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2020Q2,2020,Q2,2020-06-30,2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Biotechnology,Healthcare,APGN,-0.04412,-0.04544518149231593,0.0,0,0,0.03003584524741461,0.0,0.0,0.0,0.044063534892833954,0.045388286439496384,4.145676075186524,0.0,0.0,-0.022421485245575537,0.0,,0.0,0.0
2020Q3,2020,Q3,2020-09-30,2020-09-30,79177425.0,22826625.625,2.793048328951109,0.0,0.0,0.0,-17945.925883952856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Biotechnology,Healthcare,APGN,-5.646510716604664e-05,-5.689505281955135e-05,4.145676075186524,0,0,0.007614360001839075,0.0,0.0,0.0,0.044063534892833954,0.045388286439496384,4.145676075186524,0.0,0.0,-0.022421485245575537,0.0,,0.0,0.0
2021Q1,2021,Q1,2021-06-07,2021-03-31,68173163.45,45653251.25,5.586096657902218,0.0,0.0,0.0,-2.627299346770464,0.0,0.0,0.0,0.0,0.0,-9.868726614070644,0.0,0.0,Biotechnology,Healthcare,APGN,-0.1661485449097869,-0.16741132634270686,4.185710311695538,0,0,0.007600315931780036,0.0,0.0,0.0,-0.16609207980262083,-0.1673544312898873,0.0400342365090145,0.0,0.0,-1.4044070059038814e-05,0.0,,0.0,0.0
2021Q2,2021,Q2,2021-08-16,2021-06-30,68832008.875,68479876.875,8.379144986853328,0.0,-2.8138995372524924,0.0,-0.0611129538944942,1.1844883953639758,0.0,0.0,0.0,3.1197739011792223,-0.2221139704577356,0.0,-42.40635747740736,Biotechnology,Healthcare,APGN,-4.808961138046169,-4.845488230731261,4.199227436631198,0,0,0.007595630664616436,0.0,-2.8138995372524924,3.1197739011792223,-4.642812593136382,-4.678076904388554,0.013517124935660263,0.0,0.0,-4.685267163600203e-06,-42.40635116386619,,-24.14903106736389,0.0
2021Q3,2021,Q3,2021-12-09,2021-09-30,16760774.999999998,16486282.999999998,34.54232413178985,0.0,-0.0028528760386099,0.0,55.592768630676765,0.2880524183039223,0.0,0.0,0.0,1.86706389693779,-215.87809119010817,0.0,1.0002496979880913,Biotechnology,Healthcare,APGN,0.0012901938573913756,0.001295368198953899,2.3270551905208885,0,0,0.004010514802004484,0.0,2.8110466612138825,-1.2527100042414323,4.810251331903561,4.846783598930215,-1.8721722461103099,0.0,0.0,-0.0035851158626119513,1.0002676816643403,,0.9989848335667416,0.0
2021Q4,2021,Q4,2022-04-07,2021-12-31,16861845.0,16644436.0,0.0028471356485604,0.0,-57.69214641102534,0.0,-15.0045248909043,3515.814220183486,0.0,0.0,0.0,1.1644644167474545,0.0,0.0,-4.728546064312488,Biotechnology,Healthcare,APGN,-0.004817635537347376,-58.57923269391159,1.236327214881389,0,0,49.283361134278564,0.0,-57.68929353498673,-0.7025994801903355,-0.006107829394738751,-58.580528062110545,-1.0907279756394994,0.0,0.0,49.27935061947656,-4.727409019144787,,-0.6419616985644492,0.0
2022Q1,2022,Q1,2022-05-23,2022-03-31,316466529.12,299328529.12,-4.627257119645437,0.0131344612644701,0.0625944170684256,0.0,-8.800515270300334,-2.1783963456892104,0.0,0.0,0.0,1.5540969015964845,-37.7509876082548,0.0,-6.671957671957672,Biotechnology,Healthcare,APGN,-0.2859051011321715,0.0618826363792806,1.697001724425655,0,0,-0.002842884185166,0.0,57.754740828093766,0.38963248484903,-0.2810874655948241,58.64111533029087,0.4606745095442659,0.0,0.0,-49.28620401846373,-30.99903184241812,,-32.364640965057745,0.0
2022Q2,2022,Q2,2022-08-18,2022-06-30,70461784.4,856252784.4,6776.114078655096,0.0166479725488225,-0.0346535735527443,0.0,-0.0113019360050095,0.0014993844380519,0.0,0.0,0.0,0.0267185849344565,-0.1730826762040683,0.0,-773.9655172413794,Biotechnology,Healthcare,APGN,-0.030075416331974806,-0.03316653972795735,0.024922080861481472,0,0,0.10277907251099974,0.0,-0.0972479906211699,-1.527378316662028,0.2558296848001967,-0.09504917610723795,-1.6720796435641736,0.0,0.0,0.10562195669616574,-172.37285873192437,,-194.72388387948095,0.0
2022Q3,2022,Q3,2022-11-14,2022-09-30,55307167.2,42809167.2,0.5083446038436769,0.0076158700224849,-0.7828765288143871,0.0,-1.6892842761148443,5.311357649092481,0.0,0.0,0.0,1.206618805813343,0.1426232763000116,0.0,0.9982201655246062,Biotechnology,Healthcare,APGN,-0.29683760063828246,-0.7860366849130894,1.4587637891787777,0,0,1.648036108710266,0.0,-0.7482229552616427,1.1799002208788865,-0.26676218430630766,-0.7528701451851321,1.4338417083172963,0.0,0.0,1.5452570361992661,0.9947485663618248,,0.9950564999525258,0.0
2022Q4,2022,Q4,2023-02-22,2022-12-31,13494.734,-14682505.266,322.2823065649164,0.004637934806388,-1.026023681251217,0.0,-0.000516024807612,0.0021161571271757,0.0,0.0,0.0,1.0201615351915954,-0.0044201552571241,0.0,-825.0250000000001,Biotechnology,Healthcare,APGN,-0.2860569678407351,-1.0252206366630077,1.2869982389020465,0,0,2.58397365532382,0.0,-0.24314715243682983,-0.18645727062174755,0.010780632797547374,-0.23918395174991824,-0.17176555027673124,0.0,0.0,0.935937546613554,0.2012422724496029,,0.2442322991249005,0.0
