Symbol,Sector,Industry
A,Healthcare,Diagnostics & Research
AA,Basic Materials,Aluminum
AACG,Consumer Defensive,Education & Training Services
AAIC,Real Estate,REIT—Mortgage
AAL,Industrials,Airlines
AAME,Financial Services,Insurance—Life
AAN,Industrials,Rental & Leasing Services
AAON,Industrials,Building Products & Equipment
AAP,Consumer Cyclical,Specialty Retail
AAPL,Technology,Consumer Electronics
AAU,Basic Materials,Gold
AB,Financial Services,Asset Management
ABC,Healthcare,Medical Distribution
ABCB,Financial Services,Banks—Regional
ABEO,Healthcare,Biotechnology
ABEV,Consumer Defensive,Beverages—Brewers
ABG,Consumer Cyclical,Auto & Truck Dealerships
ABIO,Healthcare,Biotechnology
ABM,Industrials,Specialty Business Services
ABR,Real Estate,REIT—Mortgage
ABST,Technology,Software—Application
ABT,Healthcare,Medical Devices
ABUS,Healthcare,Biotechnology
ABVC,Healthcare,Biotechnology
ACAD,Healthcare,Biotechnology
ACCO,Industrials,Business Equipment & Supplies
ACER,Healthcare,Biotechnology
ACGL,Financial Services,Insurance—Diversified
ACHC,Healthcare,Medical Care Facilities
ACHV,Healthcare,Biotechnology
ACIW,Technology,Software—Infrastructure
ACLS,Technology,Semiconductor Equipment & Materials
ACM,Industrials,Engineering & Construction
ACN,Technology,Information Technology Services
ACNB,Financial Services,Banks—Regional
ACNT,Basic Materials,Steel
ACOR,Healthcare,Drug Manufacturers—Specialty & Generic
ACR,Real Estate,REIT—Mortgage
ACTG,Industrials,Specialty Business Services
ACU,Consumer Defensive,Household & Personal Products
ADBE,Technology,Software—Infrastructure
ADC,Real Estate,REIT—Retail
ADEA,Technology,Software—Application
ADES,Industrials,Pollution & Treatment Controls
ADI,Technology,Semiconductors
ADM,Consumer Defensive,Farm Products
ADMP,Healthcare,Drug Manufacturers—Specialty & Generic
ADP,Industrials,Staffing & Employment Services
ADSK,Technology,Software—Application
ADTN,Technology,Communication Equipment
ADUS,Healthcare,Medical Care Facilities
ADX,Financial Services,Asset Management
AE,Energy,Oil & Gas Refining & Marketing
AEE,Utilities,Utilities—Regulated Electric
AEF,Financial Services,Asset Management
AEG,Financial Services,Insurance—Diversified
AEHL,Industrials,Building Products & Equipment
AEHR,Technology,Semiconductor Equipment & Materials
AEIS,Industrials,Electrical Equipment & Parts
AEL,Financial Services,Insurance—Life
AEM,Basic Materials,Gold
AEMD,Healthcare,Medical Devices
AEO,Consumer Cyclical,Apparel Retail
AEP,Utilities,Utilities—Regulated Electric
AER,Industrials,Rental & Leasing Services
AES,Utilities,Utilities—Diversified
AEY,Technology,Electronics & Computer Distribution
AEZS,Healthcare,Biotechnology
AFB,Financial Services,Asset Management
AFG,Financial Services,Insurance—Property & Casualty
AFL,Financial Services,Insurance—Life
AG,Basic Materials,Silver
AGCO,Industrials,Farm & Heavy Construction Machinery
AGD,Financial Services,Asset Management
AGEN,Healthcare,Biotechnology
AGI,Basic Materials,Gold
AGM,Financial Services,Credit Services
AGNC,Real Estate,REIT—Mortgage
AGO,Financial Services,Insurance—Specialty
AGX,Industrials,Engineering & Construction
AGYS,Technology,Software—Application
AHT,Real Estate,REIT—Hotel & Motel
AIG,Financial Services,Insurance—Diversified
AIM,Healthcare,Biotechnology
AIN,Consumer Cyclical,Textile Manufacturing
AIR,Industrials,Aerospace & Defense
AIRI,Industrials,Aerospace & Defense
AIRT,Industrials,Integrated Freight & Logistics
AIT,Industrials,Industrial Distribution
AIV,Real Estate,REIT—Residential
AIZ,Financial Services,Insurance—Specialty
AJG,Financial Services,Insurance Brokers
AJRD,Industrials,Aerospace & Defense
AKAM,Technology,Software—Infrastructure
AKR,Real Estate,REIT—Retail
ALB,Basic Materials,Specialty Chemicals
ALCO,Consumer Defensive,Farm Products
ALE,Utilities,Utilities—Diversified
ALEX,Real Estate,REIT—Diversified
ALG,Industrials,Farm & Heavy Construction Machinery
ALGN,Healthcare,Medical Devices
ALGT,Industrials,Airlines
ALK,Industrials,Airlines
ALKS,Healthcare,Biotechnology
ALL,Financial Services,Insurance—Property & Casualty
ALLT,Technology,Software—Infrastructure
ALNY,Healthcare,Biotechnology
ALOT,Technology,Computer Hardware
ALRS,Financial Services,Banks—Regional
ALT,Healthcare,Biotechnology
ALTO,Basic Materials,Specialty Chemicals
ALV,Consumer Cyclical,Auto Parts
ALX,Real Estate,REIT—Retail
ALYA,Technology,Information Technology Services
AMAT,Technology,Semiconductor Equipment & Materials
AMD,Technology,Semiconductors
AME,Industrials,Specialty Industrial Machinery
AMED,Healthcare,Medical Care Facilities
AMEH,Healthcare,Medical Care Facilities
AMG,Financial Services,Asset Management
AMGN,Healthcare,Drug Manufacturers—General
AMKR,Technology,Semiconductors
AMN,Healthcare,Medical Care Facilities
AMNB,Financial Services,Banks—Regional
AMOT,Technology,Electronic Components
AMP,Financial Services,Asset Management
AMRN,Healthcare,Biotechnology
AMS,Healthcare,Medical Care Facilities
AMSC,Industrials,Specialty Industrial Machinery
AMSF,Financial Services,Insurance—Specialty
AMSWA,Technology,Software—Application
AMT,Real Estate,REIT—Specialty
AMTX,Energy,Oil & Gas Refining & Marketing
AMWD,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AMX,Communication Services,Telecom Services
AMZN,Consumer Cyclical,Internet Retail
AN,Consumer Cyclical,Auto & Truck Dealerships
ANDE,Consumer Defensive,Food Distribution
ANF,Consumer Cyclical,Apparel Retail
ANGO,Healthcare,Medical Instruments & Supplies
ANIK,Healthcare,Medical Devices
ANIP,Healthcare,Drug Manufacturers—Specialty & Generic
ANIX,Healthcare,Biotechnology
ANSS,Technology,Software—Application
ANTE,Communication Services,Telecom Services
AOD,Financial Services,Asset Management
AON,Financial Services,Insurance Brokers
AORT,Healthcare,Medical Devices
AOS,Industrials,Specialty Industrial Machinery
AP,Industrials,Metal Fabrication
APA,Energy,Oil & Gas E&P
APCX,Technology,Software—Infrastructure
APD,Basic Materials,Specialty Chemicals
APDN,Healthcare,Diagnostics & Research
APEI,Consumer Defensive,Education & Training Services
APH,Technology,Electronic Components
APOG,Industrials,Building Products & Equipment
APPS,Technology,Software—Application
APT,Industrials,Building Products & Equipment
APTO,Healthcare,Biotechnology
APWC,Industrials,Electrical Equipment & Parts
AQN,Utilities,Utilities—Renewable
