Sector,debtToAssets,quickRatio,CurrentRatio,DebtToEquity,AssetsTurnover,pbRatio,priceToFreeCashFlowsRatio,priceToSalesRatio,ReturnOnAssets,ReturnOnEquity,peRatio,roic,OperatingMargin,NetProfitMargin,grossProfitMargin,epsdilutedGrowth,OperatingMarginIncrease,NetProfitMarginIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth,Time
0.0,0.38261691893227046,0.29648201177490763,0.9231616229378886,1.984952889108084,0.0950204715647722,0.49588540110199464,-6.2588039470301435,4.794146344356137,-0.20840482520918138,-0.1572525743155567,0.626975512625346,0.010024690314694608,-2.0049725833175738,-2.7260957094848437,0.2514863622386508,0.051848554786832056,1.471818191637732,1.3304265285207233,-1.9179393689329693,2.0540920263632505,-1.0589379565497328,-0.0854072846458665,2020Q1
Basic Materials,0.24647840493034942,2.1069034044340875,3.2389337534000133,1.135282331944591,0.13333684908920435,5.723819690442018,1.5858122685465623,7.785906092565381,-0.05605972966615817,-0.008767766983352247,3.7896739554446643,-0.0074242953826984745,-0.12222557384973952,-0.20476183640573822,0.15116481821924813,-0.5966874457667389,-0.12610555134506757,0.3369522634778944,-0.07914113823565258,0.021747422525796346,0.06309662657065405,-0.006852986988337255,2020Q1
Communication Services,0.2787988620634903,1.3622216401160405,1.7081801362253504,1.6263236498473872,0.15678593658510964,3.3200599875192385,106.44999273239273,101.56392337278038,-0.012936328682965884,-0.13881255223932923,24.549984588348995,-0.01311710692646401,-0.2910041164137281,-0.3471354010879849,0.5047982855651131,-0.6287662365537712,-0.20950251347090998,-0.32428860710569873,-0.7600660408435836,-0.1164621574055087,-0.8908351615523725,-0.10875819892516067,2020Q1
Consumer Cyclical,0.3844079514577832,1.0805822120132103,1.8160479470413857,2.5086888714908486,0.2176186069391487,2.111003709424679,221.96243718291095,26.656920971760574,-0.06701143503436155,0.0008056765952069978,-0.8598250019288061,-0.0036539357628642636,-0.15501171742852657,-0.20104762623290312,0.3260661232434858,-0.9252183574597292,-0.5415613248489133,-0.09176147632303339,-0.8941966761285907,-0.07585762200694143,-1.1188691517528468,-0.11974310540046895,2020Q1
Consumer Defensive,0.2182161679971501,1.120808666214853,1.6510709164594943,1.7066727129122155,0.23592182180332041,-1.2061398990541596,-2.437468910420335,20.844050079999747,-0.016942890360802307,-0.05763602859642393,3.033029867207842,0.011768334187175093,-0.11916888131924067,-0.24212052625854305,0.3454232387340747,-0.18565093136571043,-0.13137741426297228,-0.2472979936945457,-0.25188954666262275,0.04364139523229385,0.062155453289907986,0.016040188615218096,2020Q1
Energy,0.31032277873266634,1.0873998139244574,1.5636441098750264,1.1550998914003776,0.1425569749108605,5.144123852973022,1.3650307568910705,7.679884639827868,-0.04941659919675288,-0.1041227245845027,2.5989113738211613,-0.025785405784437616,-0.11235831810687923,-0.30449473324685006,0.2689617489068834,-2.9478694841435717,-0.09571274104512649,-0.2233774644093942,-2.8433636564834157,-0.05570981497942905,-1.4644121072960423,-0.2016270438367854,2020Q1
Financial Services,0.15643277545873815,6.778213358579607,9.649400346350038,6.366378026240802,0.04250114441487844,4.320386936333306,-521.7629944992436,43.3446389881216,-0.0060975987903213605,0.006060276068744271,19.652732344564093,0.004267677506609559,0.06373904053809024,-0.10697143251838125,0.6522165044386096,-0.9504864453689807,-0.020780589143665873,-0.24401154974157477,-0.9533081105398136,0.6169465434085459,-0.04181755532933151,-0.09556328043648506,2020Q1
Healthcare,0.30630615785808046,3.562464083179688,5.149571183588673,0.8560630032933895,0.09697841583041274,15.800729179691459,-103.11302107669276,630.4148645165408,-0.24432946425742555,-0.13787924948656563,-23.904651102978853,-0.08794023435391272,-9.097488559767301,-9.254276863569114,0.2790269281753376,-0.2441585238010406,-5.062143003894639,-5.620505193748051,-0.16956494055885793,14.866396005286099,-0.3370613826927918,0.018277811470716856,2020Q1
Industrials,0.4040208147880372,1.3816373612897521,2.0511578679099465,2.018418957202866,0.18164454458071924,0.3507814964925912,-2.924589737644165,26.03288085760184,-0.10985646484091445,-0.006437946024482081,14.445630708024979,-0.015032002166494864,-1.7755467004347247,-1.8753273387599272,0.270049298577752,-0.7815606064810792,-0.9191709753445169,-6.797976034256415,-0.6703300566696065,-0.06016229480840798,-0.2619174309053568,-0.010994864246130763,2020Q1
Real Estate,0.4566299646836842,1.9432359496084648,2.4223645809372814,2.1687576798492865,0.045377640299479084,1.5317335237418968,32.92864475678189,32.89798399141775,-0.008997290389486679,-0.029289823798679466,7.811698704582958,0.0034287894547640582,0.09635802748712004,-0.4609994271236168,0.4967515594912239,-1.22826155223901,-0.05263603139525332,-0.6916708532803566,-1.3555738352680866,0.005472277898704656,-0.36816519217498445,-0.07573740820260362,2020Q1
Technology,0.19785178541871173,1.3736429332792148,2.1573491992864025,1.20613472066561,0.1629783097140094,13.662239402850286,-46.54839922501319,784.4475425434917,-0.02727698106535589,-0.028601697449259104,-276.80000391457156,-0.022894521015019136,-1.425827852975813,-1.420931173734084,0.45212565525221093,-0.20232234627557366,0.5363689259957503,0.5354782437014758,-0.2567551230537987,0.2544925493461974,-0.11038559639284856,0.04450837698159277,2020Q1
Utilities,0.38258976324199306,0.6666546318805259,0.9998500937433987,2.2826055959281812,0.06038120505308326,1.8159281405299614,-27.80213668516484,12.173864336885153,0.005592557609992781,0.015813479619150774,15.751104504805717,0.013666311901227846,0.17442735909877616,0.06456473728380822,0.44375851850608766,0.39486670740031754,0.028423457032111125,-0.07196212101054544,0.39637715867332834,0.04098627636242441,0.568422653995089,0.09049696048880446,2020Q1
